Third Party ID,First Name,Last Name,Category,RegistrationStatus,Barcode,Company,Country,Email,Job Title,Nr. of check-ins,organisationType,Company (Custom Field),Country (Custom Field),createdOnsite,First Name (Custom Field),Job Title (Custom Field),Last Name (Custom Field),nationality,State,tags,website,FielddriveID,Attended,Confirmed/No show
c0qpdxxsykqvo,Aisha,Lee,Enterprise Software,Attended,vx2n5zaneo9va,monday.com,IL,aisha.lee@monday.com,Engineering Manager,3,Enterprise Software,monday.com,IL,,Aisha,Engineering Manager,Lee,Israel,,,www.monday.com,7709252,0,0
v0i1itqpq4bw3,Sunita,Morris,Dev Tools & Platforms,Attended,v4s764623ahw9,Twilio,US,sunita.morris@twilio.com,VP of Developer Experience,4,Dev Tools & Platforms,Twilio,US,,Sunita,VP of Developer Experience,Morris,United States,,,www.twilio.com,7304987,0,0
urt1rwvngcfol,Miho,Dey,Cloud & Infrastructure,No show,vt34kff2jtjto,Cloudflare,US,miho.dey@cloudflare.com,DevOps Engineer,0,Cloud & Infrastructure,Cloudflare,US,,Miho,DevOps Engineer,Dey,United States,,,www.cloudflare.com,8627787,0,0
1zn5h5jmc9qh1,Pooja,Lopez,VC & Private Equity,Attended,vj5tac9pfhj1o,Andreessen Horowitz,US,pooja.lopez@a16z.com,Partner,3,VC & Private Equity,Andreessen Horowitz,US,,Pooja,Partner,Lopez,United States,,,www.a16z.com,8913116,0,0
6n7qlbw66v3jr,Emma,Romano,Cybersecurity,Attended,v1njkiksmv4qq,SentinelOne,US,emma.romano@sentinelone.com,Head of Information Security,3,Cybersecurity,SentinelOne,US,,Emma,Head of Information Security,Romano,United States,,,www.sentinelone.com,8892891,0,0
01811nae2dwbn,Mark,Wright,Cybersecurity,Attended,vulibtt9paf66,CrowdStrike,US,mark.wright@crowdstrike.com,Threat Intelligence Analyst,3,Cybersecurity,CrowdStrike,US,,Mark,Threat Intelligence Analyst,Wright,United States,,,www.crowdstrike.com,8702416,0,0
j5doh59g5hg5u,Ana,Hall,AI & Data,Attended,vghnbjn2e6xlj,Cohere,CA,ana.hall@cohere.com,VP of Data & Analytics,3,AI & Data,Cohere,CA,,Ana,VP of Data & Analytics,Hall,Canada,,,www.cohere.com,8634446,0,0
wj9s8u287m5c6,Frank,Ho,AI & Data,Attended,vreaguucqb39b,Cohere,CA,frank.ho@cohere.com,Principal ML Engineer,2,AI & Data,Cohere,CA,,Frank,Principal ML Engineer,Ho,Canada,,,www.cohere.com,7081428,0,0
npxw4nszp566z,Sophie,Asante,Enterprise Software,Attended,v230jnspsktrc,Adobe,US,sophie.asante@adobe.com,"Account Executive, Enterprise",3,Enterprise Software,Adobe,US,,Sophie,"Account Executive, Enterprise",Asante,United States,,,www.adobe.com,7698189,0,0
orpoklf43rsas,Matthew,Smith,Cloud & Infrastructure,Attended,vvi1x1vh3ji9p,Akamai Technologies,US,matthew.smith@akamai.com,Senior Site Reliability Engineer,2,Cloud & Infrastructure,Akamai Technologies,US,,Matthew,Senior Site Reliability Engineer,Smith,United States,,,www.akamai.com,7116427,0,0
53cuk52cg99l3,Klaus,Srivastava,AI & Data,Attended,v49dq1gt7dht8,Together AI,US,klaus.srivastava@together.ai,Research Scientist,3,AI & Data,Together AI,US,,Klaus,Research Scientist,Srivastava,United States,,,www.together.ai,8581322,0,0
mtm12lc9bgjq0,Brian,Stewart,Cloud & Infrastructure,Attended,vaqk711uzq6rf,Cloudflare,US,brian.stewart@cloudflare.com,Platform Engineer,3,Cloud & Infrastructure,Cloudflare,US,,Brian,Platform Engineer,Stewart,United States,,,www.cloudflare.com,8732519,0,0
kwjsv0zityfip,Pablo,Pedersen,Enterprise Software,Attended,vpr46qheqkmqp,Zendesk,US,pablo.pedersen@zendesk.com,Staff Software Engineer,2,Enterprise Software,Zendesk,US,,Pablo,Staff Software Engineer,Pedersen,United States,,,www.zendesk.com,7513114,0,0
nvlipmz6387ix,Yan,Dey,Cybersecurity,Attended,vhhkffn16db0i,SentinelOne,US,yan.dey@sentinelone.com,Senior Security Engineer,3,Cybersecurity,SentinelOne,US,,Yan,Senior Security Engineer,Dey,United States,,,www.sentinelone.com,7571489,0,0
4054g8qde12wu,Philippe,Phillips,Cloud & Infrastructure,Attended,vw60n330pgbop,Cloudflare,US,philippe.phillips@cloudflare.com,Senior Site Reliability Engineer,3,Cloud & Infrastructure,Cloudflare,US,,Philippe,Senior Site Reliability Engineer,Phillips,United States,,,www.cloudflare.com,8548608,0,0
4q46derg870sb,Min-Ji,Kumar,Cybersecurity,Attended,v9fyy9v3zsoza,Palo Alto Networks,US,minji.kumar@paloaltonetworks.com,Security Sales Engineer,2,Cybersecurity,Palo Alto Networks,US,,Min-Ji,Security Sales Engineer,Kumar,United States,,,www.paloaltonetworks.com,8706602,0,0
0tuey6emdf3jp,Andrea,Goh,AI & Data,Attended,vhnb5vngblcqz,Databricks,US,andrea.goh@databricks.com,Principal ML Engineer,3,AI & Data,Databricks,US,,Andrea,Principal ML Engineer,Goh,United States,,,www.databricks.com,7660455,0,0
wu1i7xxeq58wz,Eric,Lim,VC & Private Equity,Attended,vuaczrre5oz83,Lightspeed Venture Partners,US,eric.lim@lsvp.com,Investment Director,3,VC & Private Equity,Lightspeed Venture Partners,US,,Eric,Investment Director,Lim,United States,,,www.lsvp.com,7616424,0,0
m9vudmk3p6owy,Jean,Morgan,Hardware & Semiconductors,Attended,vegpmte1el8it,AMD,US,jean.morgan@amd.com,Principal VLSI Engineer,4,Hardware & Semiconductors,AMD,US,,Jean,Principal VLSI Engineer,Morgan,United States,,,www.amd.com,7922758,0,0
mvqiixkuozm7i,Amit,Nielsen,VC & Private Equity,No show,v9ry30m651lzv,Tiger Global,US,amit.nielsen@tigerglobal.com,Venture Associate,0,VC & Private Equity,Tiger Global,US,,Amit,Venture Associate,Nielsen,United States,,,www.tigerglobal.com,7969905,0,0
iix1sknxd6zmb,Philippe,Deng,IT Consulting & SI,Attended,vytjptvh31a2m,Cognizant,US,philippe.deng@cognizant.com,Cloud Migration Specialist,3,IT Consulting & SI,Cognizant,US,,Philippe,Cloud Migration Specialist,Deng,United States,,,www.cognizant.com,8205596,0,0
aayriberxe6l0,Christopher,Zhu,Enterprise Software,Attended,vdcz6pbbouzy4,Sprinklr,US,christopher.zhu@sprinklr.com,Senior Product Manager,4,Enterprise Software,Sprinklr,US,,Christopher,Senior Product Manager,Zhu,United States,,,www.sprinklr.com,8728960,0,0
7slkd4qjd7b52,Fazilah,King,Cybersecurity,Attended,vxovyxhzpdso9,CyberArk,IL,fazilah.king@cyberark.com,SOC Analyst,2,Cybersecurity,CyberArk,IL,,Fazilah,SOC Analyst,King,Israel,,,www.cyberark.com,8393667,0,0
88h23tu8lm7xx,Ama,Jones,AI & Data,Attended,vcn3on4fg0djq,LangChain,US,ama.jones@langchain.com,Research Scientist,2,AI & Data,LangChain,US,,Ama,Research Scientist,Jones,United States,,,www.langchain.com,8713154,0,0
3vvbqevfpvu2l,Elizabeth,Kim,IT Consulting & SI,Attended,vydkg2d7gg3z4,PwC Advisory,GB,elizabeth.kim@pwc.com,Director of Technology,2,IT Consulting & SI,PwC Advisory,GB,,Elizabeth,Director of Technology,Kim,United Kingdom,,,www.pwc.com,7052953,0,0
rjhhzh139q0ep,Miho,Oliveira,Enterprise Software,Attended,v8v1uc8eanr1c,HubSpot,US,miho.oliveira@hubspot.com,VP of Engineering,1,Enterprise Software,HubSpot,US,,Miho,VP of Engineering,Oliveira,United States,,,www.hubspot.com,7079167,0,0
mth2i5p7vwkfu,Ethan,Brown,Dev Tools & Platforms,Attended,v90fpi90mb0or,Twilio,US,ethan.brown@twilio.com,Developer Advocate,1,Dev Tools & Platforms,Twilio,US,,Ethan,Developer Advocate,Brown,United States,,,www.twilio.com,8745556,0,0
uvakswrzqe54p,Liam,Yang,VC & Private Equity,Attended,vfmicx9ullp5e,SoftBank Vision Fund,JP,liam.yang@softbank.com,Partner,3,VC & Private Equity,SoftBank Vision Fund,JP,,Liam,Partner,Yang,Japan,,,www.softbank.com,8476698,0,0
3g1puxjcn0cl5,Paul,Wagner,Enterprise Software,Attended,vnkdi2qg6tuq5,ServiceNow,US,paul.wagner@servicenow.com,Engineering Manager,2,Enterprise Software,ServiceNow,US,,Paul,Engineering Manager,Wagner,United States,,,www.servicenow.com,7600054,0,0
0omoms98z2n4x,Isabelle,Flores,Dev Tools & Platforms,Attended,vxzu368uuj2g4,Kong,US,isabelle.flores@konghq.com,Staff Software Engineer,3,Dev Tools & Platforms,Kong,US,,Isabelle,Staff Software Engineer,Flores,United States,,,www.konghq.com,8668716,0,0
61098cjnjz9g6,Ahmed,Joshi,AI & Data,Attended,vdvnq49440dcl,Scale AI,US,ahmed.joshi@scale.com,Research Scientist,4,AI & Data,Scale AI,US,,Ahmed,Research Scientist,Joshi,United States,,,www.scale.com,8725747,0,0
bslyfay0xa0rk,Nomsa,Thomas,Enterprise Software,No show,v8cjre5c5jo5l,Atlassian,AU,nomsa.thomas@atlassian.com,Senior Solutions Engineer,0,Enterprise Software,Atlassian,AU,,Nomsa,Senior Solutions Engineer,Thomas,Australia,,,www.atlassian.com,7994507,0,0
puv58ohcu0e0r,Sandra,Zhao,IT Consulting & SI,Attended,v3jss3t14lyf6,Infosys,IN,sandra.zhao@infosys.com,"Partner, Technology Practice",3,IT Consulting & SI,Infosys,IN,,Sandra,"Partner, Technology Practice",Zhao,India,,,www.infosys.com,7521407,0,0
90gdrra5yu3tt,Jae-Won,Rogers,Dev Tools & Platforms,No show,vbuys9p7sepho,Retool,US,jaewon.rogers@retool.com,Senior Developer Advocate,0,Dev Tools & Platforms,Retool,US,,Jae-Won,Senior Developer Advocate,Rogers,United States,,,www.retool.com,8700602,0,0
tatllqhrkmrfs,Fazilah,Brown,AI & Data,Attended,vf7akn207kioa,DataRobot,US,fazilah.brown@datarobot.com,Data Engineer,3,AI & Data,DataRobot,US,,Fazilah,Data Engineer,Brown,United States,,,www.datarobot.com,7205568,0,0
